Scenario,Epi,Interventions
HP_01,EPI1,!AV
HP_02,EPI1,VX1 !AV
HP_03,EPI1,VX2 !AV
HP_04,EPI1,SC1 !AV
HP_05,EPI1,SC2 !AV
HP_06,EPI1,SC3 !AV
HP_07,EPI1,SC4 !AV
HP_08,EPI1,AV
HP_09,EPI1,VX1 SC1 AV
HP_10,EPI1,VX1 SC2 AV
HP_11,EPI1,VX2 SC3 AV
HP_12,EPI1,VX2 SC4 !AV
HP_13,EPI2,!AV
HP_14,EPI2,VX1 !AV
HP_15,EPI2,VX2 !AV
HP_16,EPI2,SC1 !AV
HP_17,EPI2,SC2 !AV
HP_18,EPI2,SC3 !AV
HP_19,EPI2,SC4 !AV
HP_20,EPI2,AV
HP_21,EPI2,VX1 SC1 AV
HP_22,EPI2,VX1 SC2 AV
HP_23,EPI2,VX2 SC3 AV
HP_24,EPI2,VX2 SC4 AV
