fips,age_group,popsize
01111,g,3868
01111,o,4678
01111,p,1401
01111,s,4064
01113,a,22338
01113,g,6709
01113,o,9633
01113,p,3956
01113,s,9526
01115,a,36398
01115,g,10570
01115,o,16206
01115,p,5697
01115,s,14138
01117,a,86954
01117,g,19909
01117,o,36220
01117,p,13233
01117,s,36392
01119,a,5795
01119,g,2071
01119,o,2748
01119,p,756
01119,s,2376
01121,a,34841
01121,g,11418
01121,o,16865
01121,p,5064
01121,s,14486
01123,a,16267
01123,g,7106
01123,o,9126
01123,p,2422
01123,s,6910
01125,a,98306
01125,g,20665
01125,o,32240
01125,p,11499
01125,s,30082
01127,a,27132
01127,g,10822
01127,o,14206
01127,p,3969
01127,s,11218
01129,a,6903
01129,g,2553
01129,o,3557
01129,p,1080
01129,s,3400
01131,a,4426
01131,g,1729
01131,o,2473
01131,p,720
01131,s,2522
01133,a,9712
01133,g,4245
01133,o,5290
01133,p,1379
01133,s,4065
02013,a,1833
02013,g,153
02013,o,750
02013,p,123
02013,s,225
02016,a,3192
02016,g,183
02016,o,1314
02016,p,216
02016,s,632
02020,a,137384
02020,g,20592
02020,o,54454
02020,p,21661
02020,s,53586
02050,a,7250
02050,g,989
02050,o,2390
02050,p,1795
02050,s,4436
02060,a,405
02060,g,84
02060,o,264
02060,p,49
02060,s,174
02068,a,780
02068,g,125
02068,o,503
02068,p,119
02068,s,290
02070,a,1947
02070,g,366
02070,o,870
02070,p,428
02070,s,1165
02090,a,46917
02090,g,6081
02090,o,17292
02090,p,7769
02090,s,17179
02100,a,932
02100,g,331
02100,o,761
02100,p,119
02100,s,343
02110,a,13845
02110,g,2544
02110,o,7134
02110,p,1954
02110,s,5380
02122,a,22031
02122,g,5963
02122,o,13681
02122,p,3418
02122,s,9703
02130,a,5598
02130,g,1363
02130,o,3036
02130,p,939
02130,s,2384
02150,a,6101
02150,g,859
02150,o,2527
02150,p,1168
02150,s,2850
02164,a,677
02164,g,117
02164,o,317
02164,p,131
02164,s,370
02170,a,37458
02170,g,6727
02170,o,17429
02170,p,6778
02170,s,18493
02180,a,3984
02180,g,586
02180,o,1507
02180,p,1017
02180,s,2219
02185,a,4327
02185,g,371
02185,o,2173
02185,p,737
02185,s,1497
02188,a,3260
02188,g,469
02188,o,1074
02188,p,871
02188,s,1793
02201,a,2338
02201,g,530
02201,o,1391
02201,p,347
02201,s,992
02220,a,3762
02220,g,988
02220,o,1957
02220,p,605
02220,s,1532
02232,a,1301
02232,g,355
02232,o,870
02232,p,192
02232,s,401
02240,a,2926
02240,g,641
02240,o,1537
02240,p,487
02240,s,1364
02261,a,3985
02261,g,753
02261,o,2453
02261,p,591
02261,s,1710
02270,a,3113
02270,g,382
02270,o,836
02270,p,876
02270,s,2262
02280,a,2314
02280,g,737
02280,o,1540
02280,p,303
02280,s,1053
02282,a,284
02282,g,63
02282,o,154
02282,p,40
02282,s,124
02290,a,2226
02290,g,527
02290,o,1281
02290,p,389
02290,s,1072
04001,a,27848
04001,g,8016
04001,o,12346
04001,p,5958
04001,s,16840
04003,a,51542
04003,g,22300
04003,o,26311
04003,p,8391
04003,s,21537
04005,a,65966
04005,g,11576
04005,o,24020
04005,p,9127
04005,s,22788
04007,a,17080
04007,g,12212
04007,o,12664
04007,p,3089
04007,s,8516
04009,a,16630
04009,g,4279
04009,o,5891
04009,p,3307
04009,s,7418
04011,a,3437
04011,g,1022
04011,o,1610
04011,p,693
04011,s,1873
04012,a,5686
04012,g,6667
04012,o,4524
04012,p,1025
04012,s,2612
04013,a,1716791
04013,g,451361
04013,o,623780
04013,p,289852
04013,s,721995
04015,a,66179
04015,g,45485
04015,o,46047
04015,p,11335
04015,s,30650
04017,a,41571
04017,g,13888
04017,o,19735
04017,p,8889
04017,s,23488
04019,a,415360
04019,g,148205
04019,o,186422
04019,p,63345
04019,s,162248
04021,a,148915
04021,g,49298
04021,o,59709
04021,p,28669
04021,s,63239
04023,a,17766
04023,g,6055
04023,o,8663
04023,p,3735
04023,s,10792
04025,a,68770
04025,g,49418
04025,o,52054
04025,p,10835
04025,s,30095
04027,a,79152
04027,g,30664
04027,o,28896
04027,p,15168
04027,s,39834
05001,a,7354
05001,g,3138
05001,o,4124
05001,p,1150
05001,s,3368
05003,a,8597
05003,g,3523
05003,o,4360
05003,p,1429
05003,s,4011
05005,a,12964
05005,g,11554
05005,o,9463
05005,p,2051
05005,s,5529
05007,a,95911
05007,g,26348
05007,o,34029
05007,p,17736
05007,s,42596
05009,a,14223
05009,g,6588
05009,o,7377
05009,p,2244
05009,s,6412
05011,a,4578
05011,g,2026
05011,o,2208
05011,p,797
05011,s,1929
05013,a,2154
05013,g,943
05013,o,1162
05013,p,279
05013,s,883
05015,a,9750
05015,g,4987
05015,o,6265
05015,p,1638
05015,s,4518
05017,a,4480
05017,g,2152
05017,o,2453
05017,p,826
05017,s,1940
05019,a,11199
05019,g,3399
05019,o,4009
05019,p,1268
05019,s,3225
05021,a,5939
05021,g,3216
05021,o,3300
05021,p,908
05021,s,2693
05023,a,9067
05023,g,6024
05023,o,5597
05023,p,1375
05023,s,3807
05025,a,3367
05025,g,1410
05025,o,1708
05025,p,595
05025,s,1569
05027,a,10616
05027,g,3907
05027,o,4391
05027,p,1527
05027,s,4181
05029,a,8369
05029,g,3522
05029,o,4201
05029,p,1390
05029,s,3775
05031,a,44573
05031,g,11458
05031,o,15628
05031,p,6974
05031,s,16849
05033,a,25728
05033,g,8042
05033,o,11500
05033,p,4334
05033,s,11991
05035,a,21558
05035,g,5387
05035,o,8988
05035,p,4141
05035,s,10855
05037,a,7141
05037,g,2728
05037,o,3544
05037,p,1143
05037,s,3415
05039,a,2996
05039,g,1470
05039,o,1770
05039,p,480
05039,s,1472
05041,a,4945
05041,g,1985
05041,o,2737
05041,p,1021
05041,s,2420
05043,a,8026
05043,g,2713
05043,o,3404
05043,p,1174
05043,s,3178
05045,a,55016
05045,g,11045
05045,o,17603
05045,p,7776
05045,s,19373
05047,a,7096
05047,g,3002
05047,o,3565
05047,p,1201
05047,s,3281
05049,a,4042
05049,g,2739
05049,o,2801
05049,p,682
05049,s,1967
05051,a,35330
05051,g,19969
05051,o,20370
05051,p,5456
05051,s,14715
05053,a,7436
05053,g,2524
05053,o,3457
05053,p,1100
05053,s,3234
05055,a,17626
05055,g,5967
05055,o,7644
05055,p,2831
05055,s,7655
05057,a,8969
05057,g,3362
05057,o,4353
05057,p,1794
05057,s,4137
05059,a,13187
05059,g,5131
05059,o,6804
05059,p,2079
05059,s,5596
05061,a,5505
05061,g,2082
05061,o,2533
05061,p,1022
05061,s,2599
05063,a,14782
05063,g,5622
05063,o,7181
05063,p,2490
05063,s,6184
05065,a,4825
05065,g,3164
05065,o,3084
05065,p,671
05065,s,1935
05067,a,7726
05067,g,2837
05067,o,3621
05067,p,1041
05067,s,2720
05069,a,33541
05069,g,10212
05069,o,15491
05069,p,5023
05069,s,13492
05071,a,10676
05071,g,3713
05071,o,4682
05071,p,1798
05071,s,4505
05073,a,2832
05073,g,1496
05073,o,1536
05073,p,443
05073,s,1347
05075,a,6813
05075,g,3134
05075,o,3376
05075,p,1013
05075,s,3000
05077,a,4568
05077,g,1585
05077,o,2129
05077,p,579
05077,s,1597
05079,a,7055
05079,g,1761
05079,o,2540
05079,p,722
05079,s,2107
05081,a,5083
05081,g,2239
05081,o,2762
05081,p,751
05081,s,2393
05083,a,8566
05083,g,3840
05083,o,4489
05083,p,1391
05083,s,4143
05085,a,29898
05085,g,7469
05085,o,11552
05085,p,4769
05085,s,13793
05087,a,6194
05087,g,2374
05087,o,3278
05087,p,984
05087,s,2843
05089,a,5425
05089,g,3915
05089,o,4337
05089,p,799
05089,s,2245
05091,a,18561
05091,g,5913
05091,o,8189
05091,p,3145
05091,s,7476
05093,a,19381
05093,g,5734
05093,o,8511
05093,p,3665
05093,s,9566
05095,a,2976
05095,g,1565
05095,o,1833
05095,p,506
05095,s,1406
05097,a,3261
05097,g,2089
05097,o,2106
05097,p,515
05097,s,1519
05099,a,3386
05099,g,1584
05099,o,1889
05099,p,604
05099,s,1595
05101,a,2934
05101,g,1665
05101,o,1971
05101,p,423
05101,s,1318
05103,a,9847
05103,g,4414
05103,o,5668
05103,p,1802
05103,s,4293
05105,a,4201
05105,g,1730
05105,o,2117
05105,p,594
05105,s,1801
05107,a,8182
05107,g,3291
05107,o,4260
05107,p,1682
05107,s,4561
05109,a,4412
05109,g,1953
05109,o,2145
05109,p,697
05109,s,2053
05111,a,9879
05111,g,3853
05111,o,4854
05111,p,1621
05111,s,4425
05113,a,7281
05113,g,3959
05113,o,4414
05113,p,1276
05113,s,3653
05115,a,28217
05115,g,7949
05115,o,10917
05115,p,4121
05115,s,10098
05117,a,3226
05117,g,1705
05117,o,1922
05117,p,465
05117,s,1436
05119,a,170186
05119,g,45368
05119,o,72967
05119,p,26690
05119,s,64842
05121,a,6829
05121,g,3348
05121,o,3575
05121,p,1107
05121,s,3105
05123,a,12531
05123,g,3380
05123,o,5585
05123,p,1935
05123,s,4905
05125,a,44029
05125,g,15523
05125,o,20127
05125,p,6867
05125,s,18816
05127,a,4266
05127,g,1908
05127,o,2120
05127,p,692
05127,s,2111
05129,a,2849
05129,g,1720
05129,o,1954
05129,p,413
05129,s,1254
05131,a,54091
05131,g,16213
05131,o,23141
05131,p,9110
05131,s,22561
05133,a,7024
05133,g,2133
05133,o,2740
05133,p,1510
05133,s,3405
05135,a,5680
05135,g,4103
05135,o,3834
05135,p,950
05135,s,2806
05137,a,4144
05137,g,2789
05137,o,2877
05137,p,673
05137,s,1857
05139,a,16718
05139,g,6495
05139,o,8577
05139,p,2797
05139,s,7357
05141,a,6002
05141,g,3948
05141,o,3809
05141,p,896
05141,s,2638
05143,a,99899
05143,g,19258
05143,o,30370
05143,p,15164
05143,s,35083
05145,a,34078
05145,g,10643
05145,o,13354
05145,p,5114
05145,s,13095
05147,a,2664
05147,g,1305
05147,o,1676
05147,p,442
05147,s,1207
05149,a,8950
05149,g,3343
05149,o,4056
05149,p,1616
05149,s,4180
06001,a,719218
06001,g,164063
06001,o,274865
06001,p,97972
06001,s,242421
06003,a,428
06003,g,157
06003,o,359
06003,p,68
06003,s,185
06005,a,14071
06005,g,7659
06005,o,9983
06005,p,1480
06005,s,5045
06007,a,96275
06007,g,33505
06007,o,43534
06007,p,12487
06007,s,33976
06009,a,14807
06009,g,9359
06009,o,12493
06009,p,2014
06009,s,7227
06011,a,8688
06011,g,2494
06011,o,3700
06011,p,1826
06011,s,4542
06013,a,448103
06013,g,127478
06013,o,203184
06013,p,67190
06013,s,191935
06015,a,12710
06015,g,3825
06015,o,5954
06015,p,1702
06015,s,4408
06017,a,69425
06017,g,25620
06017,o,43788
06017,p,9688
06017,s,31934
06019,a,412570
06019,g,91711
06019,o,140871
06019,p,78912
06019,s,197414
06021,a,11345
06021,g,3677
06021,o,5102
06021,p,2253
06021,s,5723
06023,a,60261
06023,g,17503
06023,o,28807
06023,p,7674
06023,s,19499
06025,a,76932
06025,g,17844
06025,o,26720
06025,p,13657
06025,s,36855
06027,a,6631
06027,g,3515
06027,o,4446
06027,p,1083
06027,s,2869
06029,a,377380
06029,g,74176
06029,o,125859
06029,p,72760
06029,s,179962
06031,a,76353
06031,g,11908
06031,o,21718
06031,p,12960
06031,s,29339
06033,a,23477
06033,g,11276
06033,o,15845
06033,p,3629
06033,s,10186
06035,a,18710
06035,g,3445
06035,o,6636
06035,p,1656
06035,s,4713
06037,a,4681347
06037,g,1048085
06037,o,1634362
06037,p,653394
06037,s,1770212
06039,a,64965
06039,g,16944
06039,o,24772
06039,p,12090
06039,s,30463
06041,a,97461
06041,g,40917
06041,o,60669
06041,p,14051
06041,s,37764
06043,a,6179
06043,g,3747
06043,o,4970
06043,p,787
06043,s,2529
06045,a,34097
06045,g,13329
06045,o,20950
06045,p,5360
06045,s,13986
06047,a,112633
06047,g,23348
06047,o,36353
06047,p,22184
06047,s,57784
06049,a,3289
06049,g,1856
06049,o,2374
06049,p,548
06049,s,1579
06051,a,6706
06051,g,1303
06051,o,3064
06051,p,924
06051,s,2011
06053,a,188756
06053,g,43566
06053,o,67963
06053,p,32566
06053,s,77412
06055,a,56374
06055,g,20336
06055,o,27199
06055,p,8133
06055,s,23238
06057,a,34246
06057,g,18780
06057,o,26169
06057,p,4465
06057,s,14931
06059,a,1387354
06059,g,341836
06059,o,520814
06059,p,193446
06059,s,543727
06061,a,139003
06061,g,51991
06061,o,68153
06061,p,21073
06061,s,63590
06063,a,6636
06063,g,4060
06063,o,5738
06063,p,921
06063,s,2814
06065,a,941376
06065,g,252499
06065,o,338660
06065,p,161972
06065,s,452218
06067,a,643077
06067,g,155827
06067,o,247000
06067,p,101541
06067,s,261156
06069,a,23775
06069,g,5214
06069,o,9468
06069,p,4065
06069,s,11914
06071,a,922227
06071,g,176753
06071,o,320676
06071,p,158883
06071,s,435421
06073,a,1469591
06073,g,345572
06073,o,525183
06073,p,203620
06073,s,517237
06075,a,436890
06075,g,109093
06075,o,148590
06075,p,35302
06075,s,72047
06077,a,298346
06077,g,69669
06077,o,109637
06077,p,54522
06077,s,145562
06079,a,120305
06079,g,40255
06079,o,56602
06079,p,13462
06079,s,37521
06081,a,319951
06081,g,94883
06081,o,140259
06081,p,46386
06081,s,112138
06083,a,198555
06083,g,53827
06083,o,70669
06083,p,27459
06083,s,69846
06085,a,844501
06085,g,192337
06085,o,302276
06085,p,124820
06085,s,301203
06087,a,121725
06087,g,28434
06087,o,54623
06087,p,15062
06087,s,40165
06089,a,68908
06089,g,29388
06089,o,38881
06089,p,10385
06089,s,29717
06091,a,1015
06091,g,658
06091,o,993
06091,p,149
06091,s,433
06093,a,15210
06093,g,8721
06093,o,11533
06093,p,2477
06093,s,6847
06095,a,182006
06095,g,45615
06095,o,80803
06095,p,26827
06095,s,75039
06097,a,203895
06097,g,65567
06097,o,103595
06097,p,28136
06097,s,78286
06099,a,226673
06099,g,53912
06099,o,83249
06099,p,40354
06099,s,107348
06101,a,40611
06101,g,11757
06101,o,15895
06101,p,7252
06101,s,18851
06103,a,24306
06103,g,9915
06103,o,12453
06103,p,4460
06103,s,11757
06105,a,4519
06105,g,2659
06105,o,3994
06105,p,655
06105,s,1935
06107,a,189510
06107,g,40939
06107,o,63769
06107,p,41130
06107,s,101639
06109,a,20599
06109,g,11121
06109,o,14157
06109,p,2453
06109,s,7515
06111,a,359454
06111,g,94118
06111,o,149891
06111,p,55532
06111,s,156135
06113,a,103340
06113,g,19309
06113,o,31566
06113,p,12625
06113,s,32951
06115,a,31688
06115,g,7138
06115,o,11916
06115,p,6239
06115,s,14626
08001,a,206982
08001,g,35932
08001,o,67795
08001,p,38208
08001,s,86783
08003,a,6792
08003,g,1752
08003,o,2893
08003,p,1213
08003,s,2639
08005,a,255544
08005,g,55797
08005,o,106149
08005,p,40282
08005,s,105389
08007,a,4140
08007,g,2019
08007,o,3549
08007,p,606
08007,s,1855
08009,a,1196
08009,g,927
08009,o,823
08009,p,222
08009,s,599
08011,a,3224
08011,g,878
08011,o,1263
08011,p,295
08011,s,765
