Name,Scenario,Epidemic,Interventions,ConfigFile,RunScript,PopulationFile,Network,MergedOutput
WorkingTemplateP9_USA,HP_01,EPI1,!AV,/sfs/qumulo/qproject/biocomplexity/STOMPflu/STOMP-flu-external/PatchSim-Experiments-Gen/experiments/WorkingTemplateP9_USA/HP_01/config.patchsim,/sfs/qumulo/qproject/biocomplexity/STOMPflu/STOMP-flu-external/PatchSim-Experiments-Gen/experiments/WorkingTemplateP9_USA/HP_01/RunPatchsim.py,FixedUSAPop.patchsim,FixedUSANet.patchsim,/sfs/qumulo/qproject/biocomplexity/STOMPflu/STOMP-flu-external/PatchSim-Experiments-Gen/experiments/WorkingTemplateP9_USA/HP_01/MergedSamples.csv
WorkingTemplateP9_USA,HP_02,EPI1,VX1 !AV,/sfs/qumulo/qproject/biocomplexity/STOMPflu/STOMP-flu-external/PatchSim-Experiments-Gen/experiments/WorkingTemplateP9_USA/HP_02/config.patchsim,/sfs/qumulo/qproject/biocomplexity/STOMPflu/STOMP-flu-external/PatchSim-Experiments-Gen/experiments/WorkingTemplateP9_USA/HP_02/RunPatchsim.py,FixedUSAPop.patchsim,FixedUSANet.patchsim,/sfs/qumulo/qproject/biocomplexity/STOMPflu/STOMP-flu-external/PatchSim-Experiments-Gen/experiments/WorkingTemplateP9_USA/HP_02/MergedSamples.csv
WorkingTemplateP9_USA,HP_03,EPI1,VX2 !AV,/sfs/qumulo/qproject/biocomplexity/STOMPflu/STOMP-flu-external/PatchSim-Experiments-Gen/experiments/WorkingTemplateP9_USA/HP_03/config.patchsim,/sfs/qumulo/qproject/biocomplexity/STOMPflu/STOMP-flu-external/PatchSim-Experiments-Gen/experiments/WorkingTemplateP9_USA/HP_03/RunPatchsim.py,FixedUSAPop.patchsim,FixedUSANet.patchsim,/sfs/qumulo/qproject/biocomplexity/STOMPflu/STOMP-flu-external/PatchSim-Experiments-Gen/experiments/WorkingTemplateP9_USA/HP_03/MergedSamples.csv
WorkingTemplateP9_USA,HP_04,EPI1,SC1 !AV,/sfs/qumulo/qproject/biocomplexity/STOMPflu/STOMP-flu-external/PatchSim-Experiments-Gen/experiments/WorkingTemplateP9_USA/HP_04/config.patchsim,/sfs/qumulo/qproject/biocomplexity/STOMPflu/STOMP-flu-external/PatchSim-Experiments-Gen/experiments/WorkingTemplateP9_USA/HP_04/RunPatchsim.py,FixedUSAPop.patchsim,FixedUSANet.patchsim,/sfs/qumulo/qproject/biocomplexity/STOMPflu/STOMP-flu-external/PatchSim-Experiments-Gen/experiments/WorkingTemplateP9_USA/HP_04/MergedSamples.csv
WorkingTemplateP9_USA,HP_05,EPI1,SC2 !AV,/sfs/qumulo/qproject/biocomplexity/STOMPflu/STOMP-flu-external/PatchSim-Experiments-Gen/experiments/WorkingTemplateP9_USA/HP_05/config.patchsim,/sfs/qumulo/qproject/biocomplexity/STOMPflu/STOMP-flu-external/PatchSim-Experiments-Gen/experiments/WorkingTemplateP9_USA/HP_05/RunPatchsim.py,FixedUSAPop.patchsim,FixedUSANet.patchsim,/sfs/qumulo/qproject/biocomplexity/STOMPflu/STOMP-flu-external/PatchSim-Experiments-Gen/experiments/WorkingTemplateP9_USA/HP_05/MergedSamples.csv
WorkingTemplateP9_USA,HP_06,EPI1,SC3 !AV,/sfs/qumulo/qproject/biocomplexity/STOMPflu/STOMP-flu-external/PatchSim-Experiments-Gen/experiments/WorkingTemplateP9_USA/HP_06/config.patchsim,/sfs/qumulo/qproject/biocomplexity/STOMPflu/STOMP-flu-external/PatchSim-Experiments-Gen/experiments/WorkingTemplateP9_USA/HP_06/RunPatchsim.py,FixedUSAPop.patchsim,FixedUSANet.patchsim,/sfs/qumulo/qproject/biocomplexity/STOMPflu/STOMP-flu-external/PatchSim-Experiments-Gen/experiments/WorkingTemplateP9_USA/HP_06/MergedSamples.csv
WorkingTemplateP9_USA,HP_07,EPI1,SC4 !AV,/sfs/qumulo/qproject/biocomplexity/STOMPflu/STOMP-flu-external/PatchSim-Experiments-Gen/experiments/WorkingTemplateP9_USA/HP_07/config.patchsim,/sfs/qumulo/qproject/biocomplexity/STOMPflu/STOMP-flu-external/PatchSim-Experiments-Gen/experiments/WorkingTemplateP9_USA/HP_07/RunPatchsim.py,FixedUSAPop.patchsim,FixedUSANet.patchsim,/sfs/qumulo/qproject/biocomplexity/STOMPflu/STOMP-flu-external/PatchSim-Experiments-Gen/experiments/WorkingTemplateP9_USA/HP_07/MergedSamples.csv
WorkingTemplateP9_USA,HP_08,EPI1,AV,/sfs/qumulo/qproject/biocomplexity/STOMPflu/STOMP-flu-external/PatchSim-Experiments-Gen/experiments/WorkingTemplateP9_USA/HP_08/config.patchsim,/sfs/qumulo/qproject/biocomplexity/STOMPflu/STOMP-flu-external/PatchSim-Experiments-Gen/experiments/WorkingTemplateP9_USA/HP_08/RunPatchsim.py,FixedUSAPop.patchsim,FixedUSANet.patchsim,/sfs/qumulo/qproject/biocomplexity/STOMPflu/STOMP-flu-external/PatchSim-Experiments-Gen/experiments/WorkingTemplateP9_USA/HP_08/MergedSamples.csv
WorkingTemplateP9_USA,HP_09,EPI1,VX1 SC1 AV,/sfs/qumulo/qproject/biocomplexity/STOMPflu/STOMP-flu-external/PatchSim-Experiments-Gen/experiments/WorkingTemplateP9_USA/HP_09/config.patchsim,/sfs/qumulo/qproject/biocomplexity/STOMPflu/STOMP-flu-external/PatchSim-Experiments-Gen/experiments/WorkingTemplateP9_USA/HP_09/RunPatchsim.py,FixedUSAPop.patchsim,FixedUSANet.patchsim,/sfs/qumulo/qproject/biocomplexity/STOMPflu/STOMP-flu-external/PatchSim-Experiments-Gen/experiments/WorkingTemplateP9_USA/HP_09/MergedSamples.csv
WorkingTemplateP9_USA,HP_10,EPI1,VX1 SC2 AV,/sfs/qumulo/qproject/biocomplexity/STOMPflu/STOMP-flu-external/PatchSim-Experiments-Gen/experiments/WorkingTemplateP9_USA/HP_10/config.patchsim,/sfs/qumulo/qproject/biocomplexity/STOMPflu/STOMP-flu-external/PatchSim-Experiments-Gen/experiments/WorkingTemplateP9_USA/HP_10/RunPatchsim.py,FixedUSAPop.patchsim,FixedUSANet.patchsim,/sfs/qumulo/qproject/biocomplexity/STOMPflu/STOMP-flu-external/PatchSim-Experiments-Gen/experiments/WorkingTemplateP9_USA/HP_10/MergedSamples.csv
